name	dataset	caption	audio_path	mel_path	duration
Busy Road 180D 02.wav	adobe	busy road	adobe/Ambience_1/Busy Road 180D 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Busy Road 180D 02_mel.npy	90.01958333333333
Busy Road Not Very Busy 01.wav	adobe	busy road not very busy 	adobe/Ambience_1/Busy Road Not Very Busy 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Busy Road Not Very Busy 01_mel.npy	90.11295833333334
Busy Traffic 01.wav	adobe	busy traffic 	adobe/Ambience_1/Busy Traffic 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Busy Traffic 01_mel.npy	90.09066666666666
Car Drive In Rain 01.wav	adobe	car drive in rain 	adobe/Ambience_1/Car Drive In Rain 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Drive In Rain 01_mel.npy	90.1165
Car Drive Interior All Windows Up 01.wav	adobe	car drive interior all windows up 	adobe/Ambience_1/Car Drive Interior All Windows Up 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Drive Interior All Windows Up 01_mel.npy	90.09552083333334
Car Drive Interior Passenger Side Floor Wet Road 01.wav	adobe	car drive interior passenger side floor wet road 	adobe/Ambience_1/Car Drive Interior Passenger Side Floor Wet Road 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Drive Interior Passenger Side Floor Wet Road 01_mel.npy	90.112
Car Drive Interior Passenger Window Half Down Light Rain 01.wav	adobe	car drive interior passenger window half down light rain 	adobe/Ambience_1/Car Drive Interior Passenger Window Half Down Light Rain 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Drive Interior Passenger Window Half Down Light Rain 01_mel.npy	90.09485416666666
Car Drive Interior Rain 02.wav	adobe	car drive interior rain 	adobe/Ambience_1/Car Drive Interior Rain 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Drive Interior Rain 02_mel.npy	90.09066666666666
Car Drive On Dirt Road And Paved Road During Rain 01.wav	adobe	car drive on dirt road and paved road during rain 	adobe/Ambience_1/Car Drive On Dirt Road And Paved Road During Rain 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Drive On Dirt Road And Paved Road During Rain 01_mel.npy	90.112
Car Driving Interior Back Seat Windows Down 01.wav	adobe	car driving interior back seat windows down 	adobe/Ambience_1/Car Driving Interior Back Seat Windows Down 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Driving Interior Back Seat Windows Down 01_mel.npy	90.0995
Car Exterior Drive Down Wet Dirt Road 01.wav	adobe	car exterior drive down wet dirt road 	adobe/Ambience_1/Car Exterior Drive Down Wet Dirt Road 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Exterior Drive Down Wet Dirt Road 01_mel.npy	90.112
Car Interior Drive On Dirt Road Window Down 01.wav	adobe	car interior drive on dirt road window down 	adobe/Ambience_1/Car Interior Drive On Dirt Road Window Down 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Interior Drive On Dirt Road Window Down 01_mel.npy	90.0
Car Interior On Busy Road 01.wav	adobe	car interior on busy road 	adobe/Ambience_1/Car Interior On Busy Road 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Interior On Busy Road 01_mel.npy	90.11702083333331
Car Interior Parked Light Rain And Distant Traffic 01.wav	adobe	car interior parked light rain and distant traffic 	adobe/Ambience_1/Car Interior Parked Light Rain And Distant Traffic 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Interior Parked Light Rain And Distant Traffic 01_mel.npy	90.112
Car Interior Parking Lot Near Construction 01.wav	adobe	car interior parking lot near construction 	adobe/Ambience_1/Car Interior Parking Lot Near Construction 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Interior Parking Lot Near Construction 01_mel.npy	90.10622916666668
Car Interior Start Car Roll Down Windows And Sit 01.wav	adobe	car interior start car roll down windows and sit 	adobe/Ambience_1/Car Interior Start Car Roll Down Windows And Sit 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Interior Start Car Roll Down Windows And Sit 01_mel.npy	90.112
Car Parked Interior Near Busy Road Windows Cracked Open 01.wav	adobe	car parked interior near busy road windows cracked open 	adobe/Ambience_1/Car Parked Interior Near Busy Road Windows Cracked Open 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Parked Interior Near Busy Road Windows Cracked Open 01_mel.npy	90.1211875
Car Parked Interior Windows Up Medium Rain 01.wav	adobe	car parked interior windows up medium rain 	adobe/Ambience_1/Car Parked Interior Windows Up Medium Rain 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Parked Interior Windows Up Medium Rain 01_mel.npy	90.112
Car Parked Interior Windshield Wipers On High 01.wav	adobe	car parked interior windshield wipers on high 	adobe/Ambience_1/Car Parked Interior Windshield Wipers On High 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Parked Interior Windshield Wipers On High 01_mel.npy	90.11320833333332
Car Parked Interior Windshield Wipers On Low 01.wav	adobe	car parked interior windshield wipers on low 	adobe/Ambience_1/Car Parked Interior Windshield Wipers On Low 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Parked Interior Windshield Wipers On Low 01_mel.npy	90.09379166666666
Car Wash Automatic 01.wav	adobe	car wash automatic 	adobe/Ambience_1/Car Wash Automatic 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Car Wash Automatic 01_mel.npy	52.0
Ceiling Fan 01.wav	adobe	ceiling fan 	adobe/Ambience_1/Ceiling Fan 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Ceiling Fan 01_mel.npy	90.096
Children Group Beach Playground 01.wav	adobe	children group beach playground 	adobe/Ambience_1/Children Group Beach Playground 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Children Group Beach Playground 01_mel.npy	90.0
Children Group Playground Distant 01.wav	adobe	children group playground distant 	adobe/Ambience_1/Children Group Playground Distant 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Children Group Playground Distant 01_mel.npy	90.0
Children In Sprinkler 01.wav	adobe	children in sprinkler 	adobe/Ambience_1/Children In Sprinkler 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Children In Sprinkler 01_mel.npy	90.0
Church Bell Ring Downtown With Traffic 01.wav	adobe	church bell ring downtown with traffic 	adobe/Ambience_1/Church Bell Ring Downtown With Traffic 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Church Bell Ring Downtown With Traffic 01_mel.npy	38.31497916666667
Church Bells 01.wav	adobe	church bells 	adobe/Ambience_1/Church Bells 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Church Bells 01_mel.npy	60.06
City With Rain 01.wav	adobe	city with rain 	adobe/Ambience_1/City With Rain 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/City With Rain 01_mel.npy	90.11397916666668
City With Rain 02.wav	adobe	city with rain 	adobe/Ambience_1/City With Rain 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/City With Rain 02_mel.npy	90.112
City With Rain 03.wav	adobe	city with rain 	adobe/Ambience_1/City With Rain 03.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/City With Rain 03_mel.npy	90.047125
City With Rain 180D 01.wav	adobe	city with rain	adobe/Ambience_1/City With Rain 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/City With Rain 180D 01_mel.npy	89.97866666666667
Collision Shop Interior 01.wav	adobe	collision shop interior 	adobe/Ambience_1/Collision Shop Interior 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Collision Shop Interior 01_mel.npy	88.85985416666666
Collision Shop Interior Opposite 01.wav	adobe	collision shop interior opposite 	adobe/Ambience_1/Collision Shop Interior Opposite 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Collision Shop Interior Opposite 01_mel.npy	89.05797916666667
Collision Shop Interior Opposite 03.wav	adobe	collision shop interior opposite 	adobe/Ambience_1/Collision Shop Interior Opposite 03.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Collision Shop Interior Opposite 03_mel.npy	89.527625
Construction 01.wav	adobe	construction 	adobe/Ambience_1/Construction 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction 01_mel.npy	90.09066666666666
Construction 02.wav	adobe	construction 	adobe/Ambience_1/Construction 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction 02_mel.npy	90.11258333333332
Construction 180D 02.wav	adobe	construction	adobe/Ambience_1/Construction 180D 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction 180D 02_mel.npy	90.11077083333332
Construction 50ft 02.wav	adobe	construction ft 	adobe/Ambience_1/Construction 50ft 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction 50ft 02_mel.npy	90.11266666666668
Construction Distant 01.wav	adobe	construction distant 	adobe/Ambience_1/Construction Distant 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction Distant 01_mel.npy	89.91966666666667
Construction Equipment 01.wav	adobe	construction equipment 	adobe/Ambience_1/Construction Equipment 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction Equipment 01_mel.npy	89.98304166666667
Construction In Downtown 01.wav	adobe	construction in downtown 	adobe/Ambience_1/Construction In Downtown 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction In Downtown 01_mel.npy	90.112
Construction Light Work 01.wav	adobe	construction light work 	adobe/Ambience_1/Construction Light Work 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction Light Work 01_mel.npy	90.113
Construction Machine Dig Dirt 01.wav	adobe	construction machine dig dirt 	adobe/Ambience_1/Construction Machine Dig Dirt 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction Machine Dig Dirt 01_mel.npy	90.12083333333334
Construction Near Traffic 01.wav	adobe	construction near traffic 	adobe/Ambience_1/Construction Near Traffic 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Construction Near Traffic 01_mel.npy	90.1159375
Countryside Planes Over Head 01.wav	adobe	countryside planes over head 	adobe/Ambience_1/Countryside Planes Over Head 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Countryside Planes Over Head 01_mel.npy	90.112
Court House Entrance 01.wav	adobe	court house entrance 	adobe/Ambience_1/Court House Entrance 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Court House Entrance 01_mel.npy	90.19010416666669
Court House Security Checkpoint Interior 08.wav	adobe	court house security checkpoint interior 	adobe/Ambience_1/Court House Security Checkpoint Interior 08.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Court House Security Checkpoint Interior 08_mel.npy	90.05258333333333
Court House Security Checkpoint Interior Opposite 01.wav	adobe	court house security checkpoint interior opposite 	adobe/Ambience_1/Court House Security Checkpoint Interior Opposite 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Court House Security Checkpoint Interior Opposite 01_mel.npy	89.25939583333333
Court House Security Checkpoint Interior Opposite Not Busy 02.wav	adobe	court house security checkpoint interior opposite not busy 	adobe/Ambience_1/Court House Security Checkpoint Interior Opposite Not Busy 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Court House Security Checkpoint Interior Opposite Not Busy 02_mel.npy	90.42104166666668
Creek 01.wav	adobe	creek 	adobe/Ambience_1/Creek 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Creek 01_mel.npy	90.112
Creek In The Woods 180 01.wav	adobe	creek in the woods  	adobe/Ambience_1/Creek In The Woods 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Creek In The Woods 180 01_mel.npy	90.09391666666669
Dirt Road Near Woods 180 02.wav	adobe	dirt road near woods  	adobe/Ambience_1/Dirt Road Near Woods 180 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Dirt Road Near Woods 180 02_mel.npy	90.112
Dirt Road Near Woods One Car 02.wav	adobe	dirt road near woods one car 	adobe/Ambience_1/Dirt Road Near Woods One Car 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Dirt Road Near Woods One Car 02_mel.npy	90.1185
Dirt Road Wet 01.wav	adobe	dirt road wet 	adobe/Ambience_1/Dirt Road Wet 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Dirt Road Wet 01_mel.npy	90.112
Dirt Road Windy Wet Plane Flies By 01.wav	adobe	dirt road windy wet plane flies by 	adobe/Ambience_1/Dirt Road Windy Wet Plane Flies By 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Dirt Road Windy Wet Plane Flies By 01_mel.npy	90.112
Downtown Area 01.wav	adobe	downtown area 	adobe/Ambience_1/Downtown Area 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Downtown Area 01_mel.npy	90.28266666666669
Driving On Dirt Road Windows Up And Down 01.wav	adobe	driving on dirt road windows up and down 	adobe/Ambience_1/Driving On Dirt Road Windows Up And Down 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Driving On Dirt Road Windows Up And Down 01_mel.npy	90.11389583333332
Ducks Water And Bugs Near City 01.wav	adobe	ducks water and bugs near city 	adobe/Ambience_1/Ducks Water And Bugs Near City 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Ducks Water And Bugs Near City 01_mel.npy	89.2301875
Ducks Water And Bugs Near City With Plane 03.wav	adobe	ducks water and bugs near city with plane 	adobe/Ambience_1/Ducks Water And Bugs Near City With Plane 03.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Ducks Water And Bugs Near City With Plane 03_mel.npy	90.32445833333334
Entrance Exterior Mall Near Road And Restaurant Not Busy 02.wav	adobe	entrance exterior mall near road and restaurant not busy 	adobe/Ambience_1/Entrance Exterior Mall Near Road And Restaurant Not Busy 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Entrance Exterior Mall Near Road And Restaurant Not Busy 02_mel.npy	90.0
Factory 01.wav	adobe	factory 	adobe/Ambience_1/Factory 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory 01_mel.npy	90.11195833333332
Factory Big Machine 01.wav	adobe	factory big machine 	adobe/Ambience_1/Factory Big Machine 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Big Machine 01_mel.npy	90.09202083333334
Factory Big Machine 02.wav	adobe	factory big machine 	adobe/Ambience_1/Factory Big Machine 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Big Machine 02_mel.npy	90.28214583333332
Factory Big Machine 180D 01.wav	adobe	factory big machine	adobe/Ambience_1/Factory Big Machine 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Big Machine 180D 01_mel.npy	90.112
Factory Big Machine 180D 03.wav	adobe	factory big machine	adobe/Ambience_1/Factory Big Machine 180D 03.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Big Machine 180D 03_mel.npy	90.112
Factory Entrance Door Open Slightly 180 01.wav	adobe	factory entrance door open slightly  	adobe/Ambience_1/Factory Entrance Door Open Slightly 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Entrance Door Open Slightly 180 01_mel.npy	90.112
Factory Exterior 180 01.wav	adobe	factory exterior  	adobe/Ambience_1/Factory Exterior 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Exterior 180 01_mel.npy	90.11664583333334
Factory Exterior Between Two Buildings 180 01.wav	adobe	factory exterior between two buildings  	adobe/Ambience_1/Factory Exterior Between Two Buildings 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Exterior Between Two Buildings 180 01_mel.npy	90.112
Factory Fan 01.wav	adobe	factory fan 	adobe/Ambience_1/Factory Fan 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Fan 01_mel.npy	90.112
Factory Front Entrance 01.wav	adobe	factory front entrance 	adobe/Ambience_1/Factory Front Entrance 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Front Entrance 01_mel.npy	90.11052083333334
Factory Generator 180D 02.wav	adobe	factory generator	adobe/Ambience_1/Factory Generator 180D 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Generator 180D 02_mel.npy	90.112
Factory Hi Lo Interior 01.wav	adobe	factory hi lo interior 	adobe/Ambience_1/Factory Hi Lo Interior 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Hi Lo Interior 01_mel.npy	90.28266666666669
Factory Hi Lo Interior 180D 01.wav	adobe	factory hi lo interior	adobe/Ambience_1/Factory Hi Lo Interior 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Hi Lo Interior 180D 01_mel.npy	90.11202083333332
Factory Interior Machine Starting Up 180 02.wav	adobe	factory interior machine starting up  	adobe/Ambience_1/Factory Interior Machine Starting Up 180 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Interior Machine Starting Up 180 02_mel.npy	90.112
Factory Multiple Fans 01.wav	adobe	factory multiple fans 	adobe/Ambience_1/Factory Multiple Fans 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Factory Multiple Fans 01_mel.npy	90.11779166666666
Gas Station Exterior 02.wav	adobe	gas station exterior 	adobe/Ambience_1/Gas Station Exterior 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Gas Station Exterior 02_mel.npy	90.112
Grocery Store Bottle Return Machine 01.wav	adobe	grocery store bottle return machine 	adobe/Ambience_2/Grocery Store Bottle Return Machine 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_2/Grocery Store Bottle Return Machine 01_mel.npy	90.10747916666666
Grocery Store Entrance 01.wav	adobe	grocery store entrance 	adobe/Ambience_2/Grocery Store Entrance 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_2/Grocery Store Entrance 01_mel.npy	90.1101875
Grocery Store Entrance Exterior 01.wav	adobe	grocery store entrance exterior 	adobe/Ambience_2/Grocery Store Entrance Exterior 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_2/Grocery Store Entrance Exterior 01_mel.npy	90.1135625
Helicopter Idling Long 02.wav	adobe	helicopter idling long 	adobe/Ambience_2/Helicopter Idling Long 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_2/Helicopter Idling Long 02_mel.npy	90.45333333333332
Ice Rink Two People Skate 01.wav	adobe	ice rink two people skate 	adobe/Ambience_2/Ice Rink Two People Skate 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_2/Ice Rink Two People Skate 01_mel.npy	90.112
Landscaping 01.wav	adobe	landscaping 	adobe/Ambience_2/Landscaping 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_2/Landscaping 01_mel.npy	90.112
